,Pclass,Sex,Age,Fare
0,3,0,22.0,7.25
1,1,1,38.0,71.2833
2,3,1,26.0,7.925
3,1,1,35.0,53.1
4,3,0,35.0,8.05
5,3,0,29.0,8.4583
6,1,0,54.0,51.8625
7,3,0,2.0,21.075
8,3,1,27.0,11.1333
9,2,1,14.0,30.0708
10,3,1,4.0,16.7
11,1,1,58.0,26.55
12,3,0,20.0,8.05
13,3,0,39.0,31.275
14,3,1,14.0,7.8542
15,2,1,55.0,16.0
16,3,0,2.0,29.125
17,2,0,29.0,13.0
18,3,1,31.0,18.0
19,3,1,29.0,7.225
20,2,0,35.0,26.0
21,2,0,34.0,13.0
22,3,1,15.0,8.0292
23,1,0,28.0,35.5
24,3,1,8.0,21.075
25,3,1,38.0,31.3875
26,3,0,29.0,7.225
27,1,0,19.0,263.0
28,3,1,29.0,7.8792
29,3,0,29.0,7.8958
30,1,0,40.0,27.7208
31,1,1,29.0,146.5208
32,3,1,29.0,7.75
33,2,0,66.0,10.5
34,1,0,28.0,82.1708
35,1,0,42.0,52.0
36,3,0,29.0,7.2292
37,3,0,21.0,8.05
38,3,1,18.0,18.0
39,3,1,14.0,11.2417
40,3,1,40.0,9.475
41,2,1,27.0,21.0
42,3,0,29.0,7.8958
43,2,1,3.0,41.5792
44,3,1,19.0,7.8792
45,3,0,29.0,8.05
46,3,0,29.0,15.5
47,3,1,29.0,7.75
48,3,0,29.0,21.6792
49,3,1,18.0,17.8
50,3,0,7.0,39.6875
51,3,0,21.0,7.8
52,1,1,49.0,76.7292
53,2,1,29.0,26.0
54,1,0,65.0,61.9792
55,1,0,29.0,35.5
56,2,1,21.0,10.5
57,3,0,28.5,7.2292
58,2,1,5.0,27.75
59,3,0,11.0,46.9
60,3,0,22.0,7.2292
61,1,1,38.0,80.0
62,1,0,45.0,83.475
63,3,0,4.0,27.9
64,1,0,29.0,27.7208
65,3,0,29.0,15.2458
66,2,1,29.0,10.5
67,3,0,19.0,8.1583
68,3,1,17.0,7.925
69,3,0,26.0,8.6625
70,2,0,32.0,10.5
71,3,1,16.0,46.9
72,2,0,21.0,73.5
73,3,0,26.0,14.4542
74,3,0,32.0,56.4958
75,3,0,25.0,7.65
76,3,0,29.0,7.8958
77,3,0,29.0,8.05
78,2,0,0.83,29.0
79,3,1,30.0,12.475
80,3,0,22.0,9.0
81,3,0,29.0,9.5
82,3,1,29.0,7.7875
83,1,0,28.0,47.1
84,2,1,17.0,10.5
85,3,1,33.0,15.85
86,3,0,16.0,34.375
87,3,0,29.0,8.05
88,1,1,23.0,263.0
89,3,0,24.0,8.05
90,3,0,29.0,8.05
91,3,0,20.0,7.8542
92,1,0,46.0,61.175
93,3,0,26.0,20.575
94,3,0,59.0,7.25
95,3,0,29.0,8.05
96,1,0,71.0,34.6542
97,1,0,23.0,63.3583
98,2,1,34.0,23.0
99,2,0,34.0,26.0
100,3,1,28.0,7.8958
101,3,0,29.0,7.8958
102,1,0,21.0,77.2875
103,3,0,33.0,8.6542
104,3,0,37.0,7.925
105,3,0,28.0,7.8958
106,3,1,21.0,7.65
107,3,0,29.0,7.775
108,3,0,38.0,7.8958
109,3,1,29.0,24.15
110,1,0,47.0,52.0
111,3,1,14.5,14.4542
112,3,0,22.0,8.05
113,3,1,20.0,9.825
114,3,1,17.0,14.4583
115,3,0,21.0,7.925
116,3,0,70.5,7.75
117,2,0,29.0,21.0
118,1,0,24.0,247.5208
119,3,1,2.0,31.275
120,2,0,21.0,73.5
121,3,0,29.0,8.05
122,2,0,32.5,30.0708
123,2,1,32.5,13.0
124,1,0,54.0,77.2875
125,3,0,12.0,11.2417
126,3,0,29.0,7.75
127,3,0,24.0,7.1417
128,3,1,29.0,22.3583
129,3,0,45.0,6.975
130,3,0,33.0,7.8958
131,3,0,20.0,7.05
132,3,1,47.0,14.5
133,2,1,29.0,26.0
134,2,0,25.0,13.0
135,2,0,23.0,15.0458
136,1,1,19.0,26.2833
137,1,0,37.0,53.1
138,3,0,16.0,9.2167
139,1,0,24.0,79.2
140,3,1,29.0,15.2458
141,3,1,22.0,7.75
142,3,1,24.0,15.85
143,3,0,19.0,6.75
144,2,0,18.0,11.5
145,2,0,19.0,36.75
146,3,0,27.0,7.7958
147,3,1,9.0,34.375
148,2,0,36.5,26.0
149,2,0,42.0,13.0
150,2,0,51.0,12.525
151,1,1,22.0,66.6
152,3,0,55.5,8.05
153,3,0,40.5,14.5
154,3,0,29.0,7.3125
155,1,0,51.0,61.3792
156,3,1,16.0,7.7333
157,3,0,30.0,8.05
158,3,0,29.0,8.6625
159,3,0,29.0,69.55
160,3,0,44.0,16.1
161,2,1,40.0,15.75
162,3,0,26.0,7.775
163,3,0,17.0,8.6625
164,3,0,1.0,39.6875
165,3,0,9.0,20.525
166,1,1,29.0,55.0
167,3,1,45.0,27.9
168,1,0,29.0,25.925
169,3,0,28.0,56.4958
170,1,0,61.0,33.5
171,3,0,4.0,29.125
172,3,1,1.0,11.1333
173,3,0,21.0,7.925
174,1,0,56.0,30.6958
175,3,0,18.0,7.8542
176,3,0,29.0,25.4667
177,1,1,50.0,28.7125
178,2,0,30.0,13.0
179,3,0,36.0,0.0
180,3,1,29.0,69.55
181,2,0,29.0,15.05
182,3,0,9.0,31.3875
183,2,0,1.0,39.0
184,3,1,4.0,22.025
185,1,0,29.0,50.0
186,3,1,29.0,15.5
187,1,0,45.0,26.55
188,3,0,40.0,15.5
189,3,0,36.0,7.8958
190,2,1,32.0,13.0
191,2,0,19.0,13.0
192,3,1,19.0,7.8542
193,2,0,3.0,26.0
194,1,1,44.0,27.7208
195,1,1,58.0,146.5208
196,3,0,29.0,7.75
197,3,0,42.0,8.4042
198,3,1,29.0,7.75
199,2,1,24.0,13.0
200,3,0,28.0,9.5
201,3,0,29.0,69.55
202,3,0,34.0,6.4958
203,3,0,45.5,7.225
204,3,0,18.0,8.05
205,3,1,2.0,10.4625
206,3,0,32.0,15.85
207,3,0,26.0,18.7875
208,3,1,16.0,7.75
209,1,0,40.0,31.0
210,3,0,24.0,7.05
211,2,1,35.0,21.0
212,3,0,22.0,7.25
213,2,0,30.0,13.0
214,3,0,29.0,7.75
215,1,1,31.0,113.275
216,3,1,27.0,7.925
217,2,0,42.0,27.0
218,1,1,32.0,76.2917
219,2,0,30.0,10.5
220,3,0,16.0,8.05
221,2,0,27.0,13.0
222,3,0,51.0,8.05
223,3,0,29.0,7.8958
224,1,0,38.0,90.0
225,3,0,22.0,9.35
226,2,0,19.0,10.5
227,3,0,20.5,7.25
228,2,0,18.0,13.0
229,3,1,29.0,25.4667
230,1,1,35.0,83.475
231,3,0,29.0,7.775
232,2,0,59.0,13.5
233,3,1,5.0,31.3875
234,2,0,24.0,10.5
235,3,1,29.0,7.55
236,2,0,44.0,26.0
237,2,1,8.0,26.25
238,2,0,19.0,10.5
239,2,0,33.0,12.275
240,3,1,29.0,14.4542
241,3,1,29.0,15.5
242,2,0,29.0,10.5
243,3,0,22.0,7.125
244,3,0,30.0,7.225
245,1,0,44.0,90.0
246,3,1,25.0,7.775
247,2,1,24.0,14.5
248,1,0,37.0,52.5542
249,2,0,54.0,26.0
250,3,0,29.0,7.25
251,3,1,29.0,10.4625
252,1,0,62.0,26.55
253,3,0,30.0,16.1
254,3,1,41.0,20.2125
255,3,1,29.0,15.2458
256,1,1,29.0,79.2
257,1,1,30.0,86.5
258,1,1,35.0,512.3292
259,2,1,50.0,26.0
260,3,0,29.0,7.75
261,3,0,3.0,31.3875
262,1,0,52.0,79.65
263,1,0,40.0,0.0
264,3,1,29.0,7.75
265,2,0,36.0,10.5
266,3,0,16.0,39.6875
267,3,0,25.0,7.775
268,1,1,58.0,153.4625
269,1,1,35.0,135.6333
270,1,0,29.0,31.0
271,3,0,25.0,0.0
272,2,1,41.0,19.5
273,1,0,37.0,29.7
274,3,1,29.0,7.75
275,1,1,63.0,77.9583
276,3,1,45.0,7.75
277,2,0,29.0,0.0
278,3,0,7.0,29.125
279,3,1,35.0,20.25
280,3,0,65.0,7.75
281,3,0,28.0,7.8542
282,3,0,16.0,9.5
283,3,0,19.0,8.05
284,1,0,29.0,26.0
285,3,0,33.0,8.6625
286,3,0,30.0,9.5
287,3,0,22.0,7.8958
288,2,0,42.0,13.0
289,3,1,22.0,7.75
290,1,1,26.0,78.85
291,1,1,19.0,91.0792
292,2,0,36.0,12.875
293,3,1,24.0,8.85
294,3,0,24.0,7.8958
295,1,0,29.0,27.7208
296,3,0,23.5,7.2292
297,1,1,2.0,151.55
298,1,0,29.0,30.5
299,1,1,50.0,247.5208
300,3,1,29.0,7.75
301,3,0,29.0,23.25
302,3,0,19.0,0.0
303,2,1,29.0,12.35
304,3,0,29.0,8.05
305,1,0,0.92,151.55
306,1,1,29.0,110.8833
307,1,1,17.0,108.9
308,2,0,30.0,24.0
309,1,1,30.0,56.9292
310,1,1,24.0,83.1583
311,1,1,18.0,262.375
312,2,1,26.0,26.0
313,3,0,28.0,7.8958
314,2,0,43.0,26.25
315,3,1,26.0,7.8542
316,2,1,24.0,26.0
317,2,0,54.0,14.0
318,1,1,31.0,164.8667
319,1,1,40.0,134.5
320,3,0,22.0,7.25
321,3,0,27.0,7.8958
322,2,1,30.0,12.35
323,2,1,22.0,29.0
324,3,0,29.0,69.55
325,1,1,36.0,135.6333
326,3,0,61.0,6.2375
327,2,1,36.0,13.0
328,3,1,31.0,20.525
329,1,1,16.0,57.9792
330,3,1,29.0,23.25
331,1,0,45.5,28.5
332,1,0,38.0,153.4625
333,3,0,16.0,18.0
334,1,1,29.0,133.65
335,3,0,29.0,7.8958
336,1,0,29.0,66.6
337,1,1,41.0,134.5
338,3,0,45.0,8.05
339,1,0,45.0,35.5
340,2,0,2.0,26.0
341,1,1,24.0,263.0
342,2,0,28.0,13.0
343,2,0,25.0,13.0
344,2,0,36.0,13.0
345,2,1,24.0,13.0
346,2,1,40.0,13.0
347,3,1,29.0,16.1
348,3,0,3.0,15.9
349,3,0,42.0,8.6625
350,3,0,23.0,9.225
351,1,0,29.0,35.0
352,3,0,15.0,7.2292
353,3,0,25.0,17.8
354,3,0,29.0,7.225
355,3,0,28.0,9.5
356,1,1,22.0,55.0
357,2,1,38.0,13.0
358,3,1,29.0,7.8792
359,3,1,29.0,7.8792
360,3,0,40.0,27.9
361,2,0,29.0,27.7208
362,3,1,45.0,14.4542
363,3,0,35.0,7.05
364,3,0,29.0,15.5
365,3,0,30.0,7.25
366,1,1,60.0,75.25
367,3,1,29.0,7.2292
368,3,1,29.0,7.75
369,1,1,24.0,69.3
370,1,0,25.0,55.4417
371,3,0,18.0,6.4958
372,3,0,19.0,8.05
373,1,0,22.0,135.6333
374,3,1,3.0,21.075
375,1,1,29.0,82.1708
376,3,1,22.0,7.25
377,1,0,27.0,211.5
378,3,0,20.0,4.0125
379,3,0,19.0,7.775
380,1,1,42.0,227.525
381,3,1,1.0,15.7417
382,3,0,32.0,7.925
383,1,1,35.0,52.0
384,3,0,29.0,7.8958
385,2,0,18.0,73.5
386,3,0,1.0,46.9
387,2,1,36.0,13.0
388,3,0,29.0,7.7292
389,2,1,17.0,12.0
390,1,0,36.0,120.0
391,3,0,21.0,7.7958
392,3,0,28.0,7.925
393,1,1,23.0,113.275
394,3,1,24.0,16.7
395,3,0,22.0,7.7958
396,3,1,31.0,7.8542
397,2,0,46.0,26.0
398,2,0,23.0,10.5
399,2,1,28.0,12.65
400,3,0,39.0,7.925
401,3,0,26.0,8.05
402,3,1,21.0,9.825
403,3,0,28.0,15.85
404,3,1,20.0,8.6625
405,2,0,34.0,21.0
406,3,0,51.0,7.75
407,2,0,3.0,18.75
408,3,0,21.0,7.775
409,3,1,29.0,25.4667
410,3,0,29.0,7.8958
411,3,0,29.0,6.8583
412,1,1,33.0,90.0
413,2,0,29.0,0.0
414,3,0,44.0,7.925
415,3,1,29.0,8.05
416,2,1,34.0,32.5
417,2,1,18.0,13.0
418,2,0,30.0,13.0
419,3,1,10.0,24.15
420,3,0,29.0,7.8958
421,3,0,21.0,7.7333
422,3,0,29.0,7.875
423,3,1,28.0,14.4
424,3,0,18.0,20.2125
425,3,0,29.0,7.25
426,2,1,28.0,26.0
427,2,1,19.0,26.0
428,3,0,29.0,7.75
429,3,0,32.0,8.05
430,1,0,28.0,26.55
431,3,1,29.0,16.1
432,2,1,42.0,26.0
433,3,0,17.0,7.125
434,1,0,50.0,55.9
435,1,1,14.0,120.0
436,3,1,21.0,34.375
437,2,1,24.0,18.75
438,1,0,64.0,263.0
439,2,0,31.0,10.5
440,2,1,45.0,26.25
441,3,0,20.0,9.5
442,3,0,25.0,7.775
443,2,1,28.0,13.0
444,3,0,29.0,8.1125
445,1,0,4.0,81.8583
446,2,1,13.0,19.5
447,1,0,34.0,26.55
448,3,1,5.0,19.2583
449,1,0,52.0,30.5
450,2,0,36.0,27.75
451,3,0,29.0,19.9667
452,1,0,30.0,27.75
453,1,0,49.0,89.1042
454,3,0,29.0,8.05
455,3,0,29.0,7.8958
456,1,0,65.0,26.55
457,1,1,29.0,51.8625
458,2,1,50.0,10.5
459,3,0,29.0,7.75
460,1,0,48.0,26.55
461,3,0,34.0,8.05
462,1,0,47.0,38.5
463,2,0,48.0,13.0
464,3,0,29.0,8.05
465,3,0,38.0,7.05
466,2,0,29.0,0.0
467,1,0,56.0,26.55
468,3,0,29.0,7.725
469,3,1,0.75,19.2583
470,3,0,29.0,7.25
471,3,0,38.0,8.6625
472,2,1,33.0,27.75
473,2,1,23.0,13.7917
474,3,1,22.0,9.8375
475,1,0,29.0,52.0
476,2,0,34.0,21.0
477,3,0,29.0,7.0458
478,3,0,22.0,7.5208
479,3,1,2.0,12.2875
480,3,0,9.0,46.9
481,2,0,29.0,0.0
482,3,0,50.0,8.05
483,3,1,63.0,9.5875
484,1,0,25.0,91.0792
485,3,1,29.0,25.4667
486,1,1,35.0,90.0
487,1,0,58.0,29.7
488,3,0,30.0,8.05
489,3,0,9.0,15.9
490,3,0,29.0,19.9667
491,3,0,21.0,7.25
492,1,0,55.0,30.5
493,1,0,71.0,49.5042
494,3,0,21.0,8.05
495,3,0,29.0,14.4583
496,1,1,54.0,78.2667
497,3,0,29.0,15.1
498,1,1,25.0,151.55
499,3,0,24.0,7.7958
500,3,0,17.0,8.6625
501,3,1,21.0,7.75
502,3,1,29.0,7.6292
503,3,1,37.0,9.5875
504,1,1,16.0,86.5
505,1,0,18.0,108.9
506,2,1,33.0,26.0
507,1,0,29.0,26.55
508,3,0,28.0,22.525
509,3,0,26.0,56.4958
510,3,0,29.0,7.75
511,3,0,29.0,8.05
512,1,0,36.0,26.2875
513,1,1,54.0,59.4
514,3,0,24.0,7.4958
515,1,0,47.0,34.0208
516,2,1,34.0,10.5
517,3,0,29.0,24.15
518,2,1,36.0,26.0
519,3,0,32.0,7.8958
520,1,1,30.0,93.5
521,3,0,22.0,7.8958
522,3,0,29.0,7.225
523,1,1,44.0,57.9792
524,3,0,29.0,7.2292
525,3,0,40.5,7.75
526,2,1,50.0,10.5
527,1,0,29.0,221.7792
528,3,0,39.0,7.925
529,2,0,23.0,11.5
530,2,1,2.0,26.0
531,3,0,29.0,7.2292
532,3,0,17.0,7.2292
533,3,1,29.0,22.3583
534,3,1,30.0,8.6625
535,2,1,7.0,26.25
536,1,0,45.0,26.55
537,1,1,30.0,106.425
538,3,0,29.0,14.5
539,1,1,22.0,49.5
540,1,1,36.0,71.0
541,3,1,9.0,31.275
542,3,1,11.0,31.275
543,2,0,32.0,26.0
544,1,0,50.0,106.425
545,1,0,64.0,26.0
546,2,1,19.0,26.0
547,2,0,29.0,13.8625
548,3,0,33.0,20.525
549,2,0,8.0,36.75
550,1,0,17.0,110.8833
551,2,0,27.0,26.0
552,3,0,29.0,7.8292
553,3,0,22.0,7.225
554,3,1,22.0,7.775
555,1,0,62.0,26.55
556,1,1,48.0,39.6
557,1,0,29.0,227.525
558,1,1,39.0,79.65
559,3,1,36.0,17.4
560,3,0,29.0,7.75
561,3,0,40.0,7.8958
562,2,0,28.0,13.5
563,3,0,29.0,8.05
564,3,1,29.0,8.05
565,3,0,24.0,24.15
566,3,0,19.0,7.8958
567,3,1,29.0,21.075
568,3,0,29.0,7.2292
569,3,0,32.0,7.8542
570,2,0,62.0,10.5
571,1,1,53.0,51.4792
572,1,0,36.0,26.3875
573,3,1,29.0,7.75
574,3,0,16.0,8.05
575,3,0,19.0,14.5
576,2,1,34.0,13.0
577,1,1,39.0,55.9
578,3,1,29.0,14.4583
579,3,0,32.0,7.925
580,2,1,25.0,30.0
581,1,1,39.0,110.8833
582,2,0,54.0,26.0
583,1,0,36.0,40.125
584,3,0,29.0,8.7125
585,1,1,18.0,79.65
586,2,0,47.0,15.0
587,1,0,60.0,79.2
588,3,0,22.0,8.05
589,3,0,29.0,8.05
590,3,0,35.0,7.125
591,1,1,52.0,78.2667
592,3,0,47.0,7.25
593,3,1,29.0,7.75
594,2,0,37.0,26.0
595,3,0,36.0,24.15
596,2,1,29.0,33.0
597,3,0,49.0,0.0
598,3,0,29.0,7.225
599,1,0,49.0,56.9292
600,2,1,24.0,27.0
601,3,0,29.0,7.8958
602,1,0,29.0,42.4
603,3,0,44.0,8.05
604,1,0,35.0,26.55
605,3,0,36.0,15.55
606,3,0,30.0,7.8958
607,1,0,27.0,30.5
608,2,1,22.0,41.5792
609,1,1,40.0,153.4625
610,3,1,39.0,31.275
611,3,0,29.0,7.05
612,3,1,29.0,15.5
613,3,0,29.0,7.75
614,3,0,35.0,8.05
615,2,1,24.0,65.0
616,3,0,34.0,14.4
617,3,1,26.0,16.1
618,2,1,4.0,39.0
619,2,0,26.0,10.5
620,3,0,27.0,14.4542
621,1,0,42.0,52.5542
622,3,0,20.0,15.7417
623,3,0,21.0,7.8542
624,3,0,21.0,16.1
625,1,0,61.0,32.3208
626,2,0,57.0,12.35
627,1,1,21.0,77.9583
628,3,0,26.0,7.8958
629,3,0,29.0,7.7333
630,1,0,80.0,30.0
631,3,0,51.0,7.0542
632,1,0,32.0,30.5
633,1,0,29.0,0.0
634,3,1,9.0,27.9
635,2,1,28.0,13.0
636,3,0,32.0,7.925
637,2,0,31.0,26.25
638,3,1,41.0,39.6875
639,3,0,29.0,16.1
640,3,0,20.0,7.8542
641,1,1,24.0,69.3
642,3,1,2.0,27.9
643,3,0,29.0,56.4958
644,3,1,0.75,19.2583
645,1,0,48.0,76.7292
646,3,0,19.0,7.8958
647,1,0,56.0,35.5
648,3,0,29.0,7.55
649,3,1,23.0,7.55
650,3,0,29.0,7.8958
651,2,1,18.0,23.0
652,3,0,21.0,8.4333
653,3,1,29.0,7.8292
654,3,1,18.0,6.75
655,2,0,24.0,73.5
656,3,0,29.0,7.8958
657,3,1,32.0,15.5
658,2,0,23.0,13.0
659,1,0,58.0,113.275
660,1,0,50.0,133.65
661,3,0,40.0,7.225
662,1,0,47.0,25.5875
663,3,0,36.0,7.4958
664,3,0,20.0,7.925
665,2,0,32.0,73.5
666,2,0,25.0,13.0
667,3,0,29.0,7.775
668,3,0,43.0,8.05
669,1,1,29.0,52.0
670,2,1,40.0,39.0
671,1,0,31.0,52.0
672,2,0,70.0,10.5
673,2,0,31.0,13.0
674,2,0,29.0,0.0
675,3,0,18.0,7.775
676,3,0,24.5,8.05
677,3,1,18.0,9.8417
678,3,1,43.0,46.9
679,1,0,36.0,512.3292
680,3,1,29.0,8.1375
681,1,0,27.0,76.7292
682,3,0,20.0,9.225
683,3,0,14.0,46.9
684,2,0,60.0,39.0
685,2,0,25.0,41.5792
686,3,0,14.0,39.6875
687,3,0,19.0,10.1708
688,3,0,18.0,7.7958
689,1,1,15.0,211.3375
690,1,0,31.0,57.0
691,3,1,4.0,13.4167
692,3,0,29.0,56.4958
693,3,0,25.0,7.225
694,1,0,60.0,26.55
695,2,0,52.0,13.5
696,3,0,44.0,8.05
697,3,1,29.0,7.7333
698,1,0,49.0,110.8833
699,3,0,42.0,7.65
700,1,1,18.0,227.525
701,1,0,35.0,26.2875
702,3,1,18.0,14.4542
703,3,0,25.0,7.7417
704,3,0,26.0,7.8542
705,2,0,39.0,26.0
706,2,1,45.0,13.5
707,1,0,42.0,26.2875
708,1,1,22.0,151.55
709,3,0,29.0,15.2458
710,1,1,24.0,49.5042
711,1,0,29.0,26.55
712,1,0,48.0,52.0
713,3,0,29.0,9.4833
714,2,0,52.0,13.0
715,3,0,19.0,7.65
716,1,1,38.0,227.525
717,2,1,27.0,10.5
718,3,0,29.0,15.5
719,3,0,33.0,7.775
720,2,1,6.0,33.0
721,3,0,17.0,7.0542
722,2,0,34.0,13.0
723,2,0,50.0,13.0
724,1,0,27.0,53.1
725,3,0,20.0,8.6625
726,2,1,30.0,21.0
727,3,1,29.0,7.7375
728,2,0,25.0,26.0
729,3,1,25.0,7.925
730,1,1,29.0,211.3375
731,3,0,11.0,18.7875
732,2,0,29.0,0.0
733,2,0,23.0,13.0
734,2,0,23.0,13.0
735,3,0,28.5,16.1
736,3,1,48.0,34.375
737,1,0,35.0,512.3292
738,3,0,29.0,7.8958
739,3,0,29.0,7.8958
740,1,0,29.0,30.0
741,1,0,36.0,78.85
742,1,1,21.0,262.375
743,3,0,24.0,16.1
744,3,0,31.0,7.925
745,1,0,70.0,71.0
746,3,0,16.0,20.25
747,2,1,30.0,13.0
748,1,0,19.0,53.1
749,3,0,31.0,7.75
750,2,1,4.0,23.0
751,3,0,6.0,12.475
752,3,0,33.0,9.5
753,3,0,23.0,7.8958
754,2,1,48.0,65.0
755,2,0,0.67,14.5
756,3,0,28.0,7.7958
757,2,0,18.0,11.5
758,3,0,34.0,8.05
759,1,1,33.0,86.5
760,3,0,29.0,14.5
761,3,0,41.0,7.125
762,3,0,20.0,7.2292
763,1,1,36.0,120.0
764,3,0,16.0,7.775
765,1,1,51.0,77.9583
766,1,0,29.0,39.6
767,3,1,30.5,7.75
768,3,0,29.0,24.15
769,3,0,32.0,8.3625
770,3,0,24.0,9.5
771,3,0,48.0,7.8542
772,2,1,57.0,10.5
773,3,0,29.0,7.225
774,2,1,54.0,23.0
775,3,0,18.0,7.75
776,3,0,29.0,7.75
777,3,1,5.0,12.475
778,3,0,29.0,7.7375
779,1,1,43.0,211.3375
780,3,1,13.0,7.2292
781,1,1,17.0,57.0
782,1,0,29.0,30.0
783,3,0,29.0,23.45
784,3,0,25.0,7.05
785,3,0,25.0,7.25
786,3,1,18.0,7.4958
787,3,0,8.0,29.125
788,3,0,1.0,20.575
789,1,0,46.0,79.2
790,3,0,29.0,7.75
791,2,0,16.0,26.0
792,3,1,29.0,69.55
793,1,0,29.0,30.6958
794,3,0,25.0,7.8958
795,2,0,39.0,13.0
796,1,1,49.0,25.9292
797,3,1,31.0,8.6833
798,3,0,30.0,7.2292
799,3,1,30.0,24.15
800,2,0,34.0,13.0
801,2,1,31.0,26.25
802,1,0,11.0,120.0
803,3,0,0.42,8.5167
804,3,0,27.0,6.975
805,3,0,31.0,7.775
806,1,0,39.0,0.0
807,3,1,18.0,7.775
808,2,0,39.0,13.0
809,1,1,33.0,53.1
810,3,0,26.0,7.8875
811,3,0,39.0,24.15
812,2,0,35.0,10.5
813,3,1,6.0,31.275
814,3,0,30.5,8.05
815,1,0,29.0,0.0
816,3,1,23.0,7.925
817,2,0,31.0,37.0042
818,3,0,43.0,6.45
819,3,0,10.0,27.9
820,1,1,52.0,93.5
821,3,0,27.0,8.6625
822,1,0,38.0,0.0
823,3,1,27.0,12.475
824,3,0,2.0,39.6875
825,3,0,29.0,6.95
826,3,0,29.0,56.4958
827,2,0,1.0,37.0042
828,3,0,29.0,7.75
829,1,1,62.0,80.0
830,3,1,15.0,14.4542
831,2,0,0.83,18.75
832,3,0,29.0,7.2292
833,3,0,23.0,7.8542
834,3,0,18.0,8.3
835,1,1,39.0,83.1583
836,3,0,21.0,8.6625
837,3,0,29.0,8.05
838,3,0,32.0,56.4958
839,1,0,29.0,29.7
840,3,0,20.0,7.925
841,2,0,16.0,10.5
842,1,1,30.0,31.0
843,3,0,34.5,6.4375
844,3,0,17.0,8.6625
845,3,0,42.0,7.55
846,3,0,29.0,69.55
847,3,0,35.0,7.8958
848,2,0,28.0,33.0
849,1,1,29.0,89.1042
850,3,0,4.0,31.275
851,3,0,74.0,7.775
852,3,1,9.0,15.2458
853,1,1,16.0,39.4
854,2,1,44.0,26.0
855,3,1,18.0,9.35
856,1,1,45.0,164.8667
857,1,0,51.0,26.55
858,3,1,24.0,19.2583
859,3,0,29.0,7.2292
860,3,0,41.0,14.1083
861,2,0,21.0,11.5
862,1,1,48.0,25.9292
863,3,1,29.0,69.55
864,2,0,24.0,13.0
865,2,1,42.0,13.0
866,2,1,27.0,13.8583
867,1,0,31.0,50.4958
868,3,0,29.0,9.5
869,3,0,4.0,11.1333
870,3,0,26.0,7.8958
871,1,1,47.0,52.5542
872,1,0,33.0,5.0
873,3,0,47.0,9.0
874,2,1,28.0,24.0
875,3,1,15.0,7.225
876,3,0,20.0,9.8458
877,3,0,19.0,7.8958
878,3,0,29.0,7.8958
879,1,1,56.0,83.1583
880,2,1,25.0,26.0
881,3,0,33.0,7.8958
882,3,1,22.0,10.5167
883,2,0,28.0,10.5
884,3,0,25.0,7.05
885,3,1,39.0,29.125
886,2,0,27.0,13.0
887,1,1,19.0,30.0
888,3,1,29.0,23.45
889,1,0,26.0,30.0
890,3,0,32.0,7.75
